Painting Segment 1:
Mv to (0, 0)
Dr fr (0, 52) to (0, 53)
Dr fr (0, 53) to (0, 54)
Dr fr (0, 54) to (0, 55)
Dr fr (0, 55) to (0, 56)
Dr fr (0, 56) to (0, 57)
Dr fr (0, 57) to (0, 58)
Dr fr (0, 58) to (0, 59)
Dr fr (0, 59) to (0, 60)
Dr fr (0, 60) to (0, 61)
Dr fr (0, 61) to (0, 62)
Dr fr (0, 62) to (0, 63)
Dr fr (0, 63) to (0, 64)
Dr fr (0, 64) to (0, 65)
Dr fr (0, 65) to (0, 66)
Dr fr (0, 66) to (0, 67)
Dr fr (0, 67) to (0, 68)
Dr fr (0, 68) to (0, 69)
Dr fr (0, 69) to (0, 70)
Dr fr (0, 70) to (0, 71)
Dr fr (0, 71) to (0, 72)
Dr fr (0, 72) to (0, 73)
Dr fr (0, 73) to (0, 74)
Dr fr (0, 74) to (0, 75)
Dr fr (0, 75) to (0, 76)
Dr fr (0, 76) to (0, 77)
Dr fr (0, 77) to (0, 78)
Dr fr (0, 78) to (0, 79)
Dr fr (0, 79) to (0, 80)
Dr fr (0, 80) to (0, 81)
Dr fr (0, 81) to (1, 80)
Dr fr (1, 80) to (1, 79)
Dr fr (1, 79) to (1, 78)
Dr fr (1, 78) to (1, 77)
Dr fr (1, 77) to (1, 76)
Dr fr (1, 76) to (1, 75)
Dr fr (1, 75) to (1, 74)
Dr fr (1, 74) to (1, 73)
Dr fr (1, 73) to (1, 72)
Dr fr (1, 72) to (1, 71)
Dr fr (1, 71) to (1, 70)
Dr fr (1, 70) to (1, 69)
Dr fr (1, 69) to (1, 68)
Dr fr (1, 68) to (1, 67)
Dr fr (1, 67) to (1, 66)
Dr fr (1, 66) to (1, 65)
Dr fr (1, 65) to (1, 64)
Dr fr (1, 64) to (1, 63)
Dr fr (1, 63) to (1, 62)
Dr fr (1, 62) to (1, 61)
Dr fr (1, 61) to (1, 60)
Dr fr (1, 60) to (1, 59)
Dr fr (1, 59) to (1, 58)
Dr fr (1, 58) to (1, 57)
Dr fr (1, 57) to (1, 56)
Dr fr (1, 56) to (1, 55)
Dr fr (1, 55) to (1, 54)
Dr fr (1, 54) to (1, 53)
Dr fr (1, 53) to (1, 52)
Dr fr (1, 52) to (1, 51)
Dr fr (1, 51) to (1, 50)
Dr fr (1, 50) to (1, 49)
Dr fr (1, 49) to (1, 48)
Dr fr (1, 48) to (1, 47)
Dr fr (1, 47) to (1, 46)
Dr fr (1, 46) to (1, 45)
Dr fr (1, 45) to (1, 44)
Dr fr (1, 44) to (1, 43)
Dr fr (1, 43) to (1, 42)
Mv to (1, 49)
Dr fr (1, 49) to (2, 50)
Dr fr (2, 50) to (2, 51)
Dr fr (2, 51) to (2, 52)
Dr fr (2, 52) to (2, 53)
Dr fr (2, 53) to (2, 54)
Dr fr (2, 54) to (2, 55)
Dr fr (2, 55) to (2, 56)
Dr fr (2, 56) to (2, 57)
Dr fr (2, 57) to (2, 58)
Dr fr (2, 58) to (2, 59)
Dr fr (2, 59) to (2, 60)
Dr fr (2, 60) to (2, 61)
Dr fr (2, 61) to (2, 62)
Dr fr (2, 62) to (2, 63)
Dr fr (2, 63) to (2, 64)
Dr fr (2, 64) to (2, 65)
Dr fr (2, 65) to (2, 66)
Dr fr (2, 66) to (2, 67)
Dr fr (2, 67) to (2, 68)
Dr fr (2, 68) to (2, 69)
Dr fr (2, 69) to (2, 70)
Dr fr (2, 70) to (2, 71)
Dr fr (2, 71) to (2, 72)
Dr fr (2, 72) to (2, 73)
Dr fr (2, 73) to (2, 74)
Dr fr (2, 74) to (2, 75)
Dr fr (2, 75) to (2, 76)
Dr fr (2, 76) to (2, 77)
Dr fr (2, 77) to (2, 78)
Dr fr (2, 78) to (2, 79)
Dr fr (2, 79) to (2, 80)
Dr fr (2, 80) to (1, 81)
Dr fr (1, 81) to (2, 81)
Dr fr (2, 81) to (3, 80)
Dr fr (3, 80) to (3, 79)
Dr fr (3, 79) to (3, 78)
Dr fr (3, 78) to (3, 77)
Dr fr (3, 77) to (3, 76)
Dr fr (3, 76) to (3, 75)
Dr fr (3, 75) to (3, 74)
Dr fr (3, 74) to (3, 73)
Dr fr (3, 73) to (3, 72)
Dr fr (3, 72) to (3, 71)
Dr fr (3, 71) to (3, 70)
Dr fr (3, 70) to (3, 69)
Dr fr (3, 69) to (3, 68)
Dr fr (3, 68) to (3, 67)
Dr fr (3, 67) to (3, 66)
Dr fr (3, 66) to (3, 65)
Dr fr (3, 65) to (3, 64)
Dr fr (3, 64) to (3, 63)
Dr fr (3, 63) to (3, 62)
Dr fr (3, 62) to (3, 61)
Dr fr (3, 61) to (3, 60)
Dr fr (3, 60) to (3, 59)
Dr fr (3, 59) to (3, 58)
Dr fr (3, 58) to (3, 57)
Dr fr (3, 57) to (3, 56)
Dr fr (3, 56) to (3, 55)
Dr fr (3, 55) to (3, 54)
Mv to (3, 56)
Dr fr (3, 56) to (4, 57)
Dr fr (4, 57) to (4, 58)
Dr fr (4, 58) to (4, 59)
Dr fr (4, 59) to (4, 60)
Dr fr (4, 60) to (4, 61)
Dr fr (4, 61) to (4, 62)
Dr fr (4, 62) to (4, 63)
Dr fr (4, 63) to (4, 64)
Dr fr (4, 64) to (4, 65)
Dr fr (4, 65) to (4, 66)
Dr fr (4, 66) to (4, 67)
Dr fr (4, 67) to (4, 68)
Dr fr (4, 68) to (4, 69)
Dr fr (4, 69) to (4, 70)
Dr fr (4, 70) to (4, 71)
Dr fr (4, 71) to (4, 72)
Dr fr (4, 72) to (4, 73)
Dr fr (4, 73) to (4, 74)
Dr fr (4, 74) to (4, 75)
Dr fr (4, 75) to (4, 76)
Dr fr (4, 76) to (4, 77)
Dr fr (4, 77) to (4, 78)
Dr fr (4, 78) to (4, 79)
Dr fr (4, 79) to (4, 80)
Dr fr (4, 80) to (3, 81)
Dr fr (3, 81) to (4, 81)
Dr fr (4, 81) to (5, 80)
Dr fr (5, 80) to (5, 79)
Dr fr (5, 79) to (5, 78)
Dr fr (5, 78) to (5, 77)
Dr fr (5, 77) to (5, 76)
Dr fr (5, 76) to (5, 75)
Dr fr (5, 75) to (5, 74)
Dr fr (5, 74) to (5, 73)
Dr fr (5, 73) to (5, 72)
Dr fr (5, 72) to (5, 71)
Dr fr (5, 71) to (5, 70)
Dr fr (5, 70) to (5, 69)
Dr fr (5, 69) to (5, 68)
Dr fr (5, 68) to (5, 67)
Dr fr (5, 67) to (5, 66)
Dr fr (5, 66) to (5, 65)
Dr fr (5, 65) to (5, 64)
Dr fr (5, 64) to (5, 63)
Dr fr (5, 63) to (5, 62)
Dr fr (5, 62) to (5, 61)
Dr fr (5, 61) to (5, 60)
Dr fr (5, 60) to (5, 59)
Mv to (5, 60)
Dr fr (5, 60) to (6, 61)
Dr fr (6, 61) to (6, 62)
Dr fr (6, 62) to (6, 63)
Dr fr (6, 63) to (6, 64)
Dr fr (6, 64) to (6, 65)
Dr fr (6, 65) to (6, 66)
Dr fr (6, 66) to (6, 67)
Dr fr (6, 67) to (6, 68)
Dr fr (6, 68) to (6, 69)
Dr fr (6, 69) to (6, 70)
Dr fr (6, 70) to (6, 71)
Dr fr (6, 71) to (6, 72)
Dr fr (6, 72) to (6, 73)
Dr fr (6, 73) to (6, 74)
Dr fr (6, 74) to (6, 75)
Dr fr (6, 75) to (6, 76)
Dr fr (6, 76) to (6, 77)
Dr fr (6, 77) to (6, 78)
Dr fr (6, 78) to (6, 79)
Dr fr (6, 79) to (6, 80)
Dr fr (6, 80) to (5, 81)
Dr fr (5, 81) to (6, 81)
Dr fr (6, 81) to (7, 80)
Dr fr (7, 80) to (7, 79)
Dr fr (7, 79) to (7, 78)
Dr fr (7, 78) to (7, 77)
Dr fr (7, 77) to (7, 76)
Dr fr (7, 76) to (7, 75)
Dr fr (7, 75) to (7, 74)
Dr fr (7, 74) to (7, 73)
Dr fr (7, 73) to (7, 72)
Dr fr (7, 72) to (7, 71)
Dr fr (7, 71) to (7, 70)
Dr fr (7, 70) to (7, 69)
Dr fr (7, 69) to (7, 68)
Dr fr (7, 68) to (7, 67)
Dr fr (7, 67) to (7, 66)
Dr fr (7, 66) to (7, 65)
Dr fr (7, 65) to (7, 64)
Dr fr (7, 64) to (7, 63)
Dr fr (7, 63) to (8, 64)
Dr fr (8, 64) to (8, 65)
Dr fr (8, 65) to (8, 66)
Dr fr (8, 66) to (8, 67)
Dr fr (8, 67) to (8, 68)
Dr fr (8, 68) to (8, 69)
Dr fr (8, 69) to (8, 70)
Dr fr (8, 70) to (8, 71)
Dr fr (8, 71) to (8, 72)
Dr fr (8, 72) to (8, 73)
Dr fr (8, 73) to (8, 74)
Dr fr (8, 74) to (8, 75)
Dr fr (8, 75) to (8, 76)
Dr fr (8, 76) to (8, 77)
Dr fr (8, 77) to (8, 78)
Dr fr (8, 78) to (8, 79)
Dr fr (8, 79) to (8, 80)
Dr fr (8, 80) to (7, 81)
Dr fr (7, 81) to (8, 81)
Dr fr (8, 81) to (9, 80)
Dr fr (9, 80) to (10, 79)
Dr fr (10, 79) to (10, 78)
Dr fr (10, 78) to (10, 77)
Dr fr (10, 77) to (10, 76)
Dr fr (10, 76) to (10, 75)
Dr fr (10, 75) to (10, 74)
Dr fr (10, 74) to (10, 73)
Dr fr (10, 73) to (10, 72)
Dr fr (10, 72) to (10, 71)
Dr fr (10, 71) to (10, 70)
Dr fr (10, 70) to (10, 69)
Dr fr (10, 69) to (10, 68)
Dr fr (10, 68) to (10, 67)
Dr fr (10, 67) to (11, 68)
Dr fr (11, 68) to (11, 69)
Dr fr (11, 69) to (11, 70)
Dr fr (11, 70) to (11, 71)
Dr fr (11, 71) to (11, 72)
Dr fr (11, 72) to (11, 73)
Dr fr (11, 73) to (11, 74)
Dr fr (11, 74) to (11, 75)
Dr fr (11, 75) to (11, 76)
Dr fr (11, 76) to (11, 77)
Dr fr (11, 77) to (11, 78)
Dr fr (11, 78) to (11, 79)
Dr fr (11, 79) to (10, 80)
Dr fr (10, 80) to (10, 81)
Dr fr (10, 81) to (11, 80)
Dr fr (11, 80) to (11, 81)
Dr fr (11, 81) to (12, 80)
Dr fr (12, 80) to (12, 79)
Dr fr (12, 79) to (12, 78)
Dr fr (12, 78) to (12, 77)
Dr fr (12, 77) to (12, 76)
Dr fr (12, 76) to (12, 75)
Dr fr (12, 75) to (12, 74)
Dr fr (12, 74) to (12, 73)
Dr fr (12, 73) to (12, 72)
Dr fr (12, 72) to (12, 71)
Dr fr (12, 71) to (12, 70)
Dr fr (12, 70) to (12, 69)
Dr fr (12, 69) to (13, 70)
Dr fr (13, 70) to (13, 71)
Dr fr (13, 71) to (13, 72)
Dr fr (13, 72) to (13, 73)
Dr fr (13, 73) to (13, 74)
Dr fr (13, 74) to (13, 75)
Dr fr (13, 75) to (13, 76)
Dr fr (13, 76) to (13, 77)
Dr fr (13, 77) to (13, 78)
Dr fr (13, 78) to (13, 79)
Dr fr (13, 79) to (13, 80)
Dr fr (13, 80) to (12, 81)
Dr fr (12, 81) to (13, 81)
Dr fr (13, 81) to (14, 80)
Dr fr (14, 80) to (14, 79)
Dr fr (14, 79) to (14, 78)
Dr fr (14, 78) to (14, 77)
Dr fr (14, 77) to (14, 76)
Dr fr (14, 76) to (14, 75)
Dr fr (14, 75) to (14, 74)
Dr fr (14, 74) to (14, 73)
Dr fr (14, 73) to (14, 72)
Dr fr (14, 72) to (14, 71)
Dr fr (14, 71) to (15, 72)
Dr fr (15, 72) to (15, 73)
Dr fr (15, 73) to (15, 74)
Dr fr (15, 74) to (15, 75)
Dr fr (15, 75) to (15, 76)
Dr fr (15, 76) to (15, 77)
Dr fr (15, 77) to (15, 78)
Dr fr (15, 78) to (15, 79)
Dr fr (15, 79) to (15, 80)
Dr fr (15, 80) to (14, 81)
Dr fr (14, 81) to (15, 81)
Dr fr (15, 81) to (16, 80)
Dr fr (16, 80) to (16, 79)
Dr fr (16, 79) to (16, 78)
Dr fr (16, 78) to (16, 77)
Dr fr (16, 77) to (16, 76)
Dr fr (16, 76) to (16, 75)
Dr fr (16, 75) to (16, 74)
Dr fr (16, 74) to (16, 73)
Dr fr (16, 73) to (17, 74)
Dr fr (17, 74) to (17, 75)
Dr fr (17, 75) to (17, 76)
Dr fr (17, 76) to (17, 77)
Dr fr (17, 77) to (17, 78)
Dr fr (17, 78) to (17, 79)
Dr fr (17, 79) to (17, 80)
Dr fr (17, 80) to (16, 81)
Dr fr (16, 81) to (17, 81)
Dr fr (17, 81) to (18, 80)
Dr fr (18, 80) to (18, 79)
Dr fr (18, 79) to (18, 78)
Dr fr (18, 78) to (18, 77)
Dr fr (18, 77) to (18, 76)
Dr fr (18, 76) to (18, 75)
Dr fr (18, 75) to (18, 74)
Dr fr (18, 74) to (19, 75)
Dr fr (19, 75) to (19, 76)
Dr fr (19, 76) to (19, 77)
Dr fr (19, 77) to (19, 78)
Dr fr (19, 78) to (19, 79)
Dr fr (19, 79) to (19, 80)
Dr fr (19, 80) to (18, 81)
Dr fr (18, 81) to (19, 81)
Dr fr (19, 81) to (20, 80)
Dr fr (20, 80) to (20, 79)
Dr fr (20, 79) to (20, 78)
Dr fr (20, 78) to (20, 77)
Dr fr (20, 77) to (20, 76)
Dr fr (20, 76) to (21, 76)
Dr fr (21, 76) to (21, 77)
Dr fr (21, 77) to (21, 78)
Dr fr (21, 78) to (21, 79)
Dr fr (21, 79) to (21, 80)
Dr fr (21, 80) to (20, 81)
Dr fr (20, 81) to (21, 81)
Dr fr (21, 81) to (22, 80)
Dr fr (22, 80) to (22, 79)
Dr fr (22, 79) to (22, 78)
Dr fr (22, 78) to (22, 77)
Dr fr (22, 77) to (23, 77)
Dr fr (23, 77) to (23, 78)
Dr fr (23, 78) to (23, 79)
Dr fr (23, 79) to (23, 80)
Dr fr (23, 80) to (22, 81)
Dr fr (22, 81) to (23, 81)
Dr fr (23, 81) to (24, 80)
Dr fr (24, 80) to (24, 79)
Dr fr (24, 79) to (24, 78)
Dr fr (24, 78) to (25, 78)
Dr fr (25, 78) to (25, 79)
Dr fr (25, 79) to (25, 80)
Dr fr (25, 80) to (24, 81)
Dr fr (24, 81) to (25, 81)
Dr fr (25, 81) to (26, 80)
Dr fr (26, 80) to (26, 79)
Dr fr (26, 79) to (27, 79)
Dr fr (27, 79) to (27, 80)
Dr fr (27, 80) to (26, 81)
Dr fr (26, 81) to (27, 81)
Dr fr (27, 81) to (28, 80)
Dr fr (28, 80) to (28, 79)
Dr fr (28, 79) to (29, 80)
Dr fr (29, 80) to (28, 81)
Dr fr (28, 81) to (29, 81)
Dr fr (29, 81) to (30, 80)
Dr fr (30, 80) to (30, 81)
Dr fr (30, 81) to (31, 80)
Dr fr (31, 80) to (31, 81)
Dr fr (31, 81) to (32, 80)
Dr fr (32, 80) to (32, 81)
Dr fr (32, 81) to (33, 81)
Dr fr (33, 81) to (34, 81)
Dr fr (34, 81) to (35, 81)
Dr fr (35, 81) to (36, 81)
Dr fr (36, 81) to (37, 81)
Dr fr (37, 81) to (38, 81)
Dr fr (38, 81) to (39, 81)
Dr fr (39, 81) to (40, 81)
Mv to (10, 81)
Dr fr (10, 81) to (9, 81)
Mv to (10, 80)
Dr fr (10, 80) to (9, 79)
Dr fr (9, 79) to (9, 78)
Dr fr (9, 78) to (9, 77)
Dr fr (9, 77) to (9, 76)
Dr fr (9, 76) to (9, 75)
Dr fr (9, 75) to (9, 74)
Dr fr (9, 74) to (9, 73)
Dr fr (9, 73) to (9, 72)
Dr fr (9, 72) to (9, 71)
Dr fr (9, 71) to (9, 70)
Dr fr (9, 70) to (9, 69)
Dr fr (9, 69) to (9, 68)
Dr fr (9, 68) to (9, 67)
Dr fr (9, 67) to (9, 66)
Mv to (0, 41)
Dr fr (0, 41) to (1, 40)
Dr fr (1, 40) to (1, 39)
Dr fr (1, 39) to (1, 38)
Dr fr (1, 38) to (1, 37)
Dr fr (1, 37) to (1, 36)
Dr fr (1, 36) to (1, 35)
Dr fr (1, 35) to (1, 34)
Dr fr (1, 34) to (1, 33)
Dr fr (1, 33) to (1, 32)
Dr fr (1, 32) to (1, 31)
Dr fr (1, 31) to (1, 30)
Dr fr (1, 30) to (1, 29)
Dr fr (1, 29) to (1, 28)
Dr fr (1, 28) to (1, 27)
Dr fr (1, 27) to (1, 26)
Dr fr (1, 26) to (1, 25)
Dr fr (1, 25) to (1, 24)
Dr fr (1, 24) to (1, 23)
Dr fr (1, 23) to (1, 22)
Dr fr (1, 22) to (1, 21)
Dr fr (1, 21) to (1, 20)
Dr fr (1, 20) to (1, 19)
Dr fr (1, 19) to (1, 18)
Dr fr (1, 18) to (1, 17)
Dr fr (1, 17) to (1, 16)
Dr fr (1, 16) to (1, 15)
Dr fr (1, 15) to (1, 14)
Dr fr (1, 14) to (1, 13)
Dr fr (1, 13) to (1, 12)
Dr fr (1, 12) to (1, 11)
Dr fr (1, 11) to (1, 10)
Dr fr (1, 10) to (1, 9)
Dr fr (1, 9) to (1, 8)
Dr fr (1, 8) to (1, 7)
Dr fr (1, 7) to (1, 6)
Dr fr (1, 6) to (1, 5)
Dr fr (1, 5) to (1, 4)
Dr fr (1, 4) to (1, 3)
Dr fr (1, 3) to (1, 2)
Dr fr (1, 2) to (1, 1)
Dr fr (1, 1) to (1, 0)
Dr fr (1, 0) to (2, 0)
Dr fr (2, 0) to (2, 1)
Dr fr (2, 1) to (2, 2)
Dr fr (2, 2) to (2, 3)
Dr fr (2, 3) to (2, 4)
Dr fr (2, 4) to (2, 5)
Dr fr (2, 5) to (2, 6)
Dr fr (2, 6) to (2, 7)
Dr fr (2, 7) to (2, 8)
Dr fr (2, 8) to (2, 9)
Dr fr (2, 9) to (2, 10)
Dr fr (2, 10) to (2, 11)
Dr fr (2, 11) to (2, 12)
Dr fr (2, 12) to (2, 13)
Dr fr (2, 13) to (2, 14)
Dr fr (2, 14) to (2, 15)
Dr fr (2, 15) to (2, 16)
Dr fr (2, 16) to (2, 17)
Dr fr (2, 17) to (2, 18)
Dr fr (2, 18) to (2, 19)
Dr fr (2, 19) to (2, 20)
Dr fr (2, 20) to (2, 21)
Dr fr (2, 21) to (2, 22)
Dr fr (2, 22) to (2, 23)
Dr fr (2, 23) to (2, 24)
Dr fr (2, 24) to (2, 25)
Dr fr (2, 25) to (2, 26)
Dr fr (2, 26) to (2, 27)
Dr fr (2, 27) to (2, 28)
Dr fr (2, 28) to (2, 29)
Dr fr (2, 29) to (2, 30)
Dr fr (2, 30) to (2, 31)
Dr fr (2, 31) to (2, 32)
Mv to (2, 29)
Dr fr (2, 29) to (3, 28)
Dr fr (3, 28) to (3, 27)
Dr fr (3, 27) to (3, 26)
Dr fr (3, 26) to (3, 25)
Dr fr (3, 25) to (3, 24)
Dr fr (3, 24) to (3, 23)
Dr fr (3, 23) to (3, 22)
Dr fr (3, 22) to (3, 21)
Dr fr (3, 21) to (3, 20)
Dr fr (3, 20) to (3, 19)
Dr fr (3, 19) to (3, 18)
Dr fr (3, 18) to (3, 17)
Dr fr (3, 17) to (3, 16)
Dr fr (3, 16) to (3, 15)
Dr fr (3, 15) to (3, 14)
Dr fr (3, 14) to (3, 13)
Dr fr (3, 13) to (3, 12)
Dr fr (3, 12) to (3, 11)
Dr fr (3, 11) to (3, 10)
Dr fr (3, 10) to (3, 9)
Dr fr (3, 9) to (3, 8)
Dr fr (3, 8) to (3, 7)
Dr fr (3, 7) to (3, 6)
Dr fr (3, 6) to (3, 5)
Dr fr (3, 5) to (3, 4)
Dr fr (3, 4) to (3, 3)
Dr fr (3, 3) to (3, 2)
Dr fr (3, 2) to (3, 1)
Dr fr (3, 1) to (3, 0)
Dr fr (3, 0) to (4, 0)
Dr fr (4, 0) to (4, 1)
Dr fr (4, 1) to (4, 2)
Dr fr (4, 2) to (4, 3)
Dr fr (4, 3) to (4, 4)
Dr fr (4, 4) to (4, 5)
Dr fr (4, 5) to (4, 6)
Dr fr (4, 6) to (4, 7)
Dr fr (4, 7) to (4, 8)
Dr fr (4, 8) to (4, 9)
Dr fr (4, 9) to (4, 10)
Dr fr (4, 10) to (4, 11)
Dr fr (4, 11) to (4, 12)
Dr fr (4, 12) to (4, 13)
Dr fr (4, 13) to (4, 14)
Dr fr (4, 14) to (4, 15)
Dr fr (4, 15) to (4, 16)
Dr fr (4, 16) to (4, 17)
Dr fr (4, 17) to (4, 18)
Dr fr (4, 18) to (4, 19)
Dr fr (4, 19) to (4, 20)
Dr fr (4, 20) to (4, 21)
Dr fr (4, 21) to (4, 22)
Dr fr (4, 22) to (4, 23)
Dr fr (4, 23) to (4, 24)
Dr fr (4, 24) to (4, 25)
Mv to (4, 24)
Dr fr (4, 24) to (5, 23)
Dr fr (5, 23) to (5, 22)
Dr fr (5, 22) to (5, 21)
Dr fr (5, 21) to (5, 20)
Dr fr (5, 20) to (5, 19)
Dr fr (5, 19) to (5, 18)
Dr fr (5, 18) to (5, 17)
Dr fr (5, 17) to (5, 16)
Dr fr (5, 16) to (5, 15)
Dr fr (5, 15) to (5, 14)
Dr fr (5, 14) to (5, 13)
Dr fr (5, 13) to (5, 12)
Dr fr (5, 12) to (5, 11)
Dr fr (5, 11) to (5, 10)
Dr fr (5, 10) to (5, 9)
Dr fr (5, 9) to (5, 8)
Dr fr (5, 8) to (5, 7)
Dr fr (5, 7) to (5, 6)
Dr fr (5, 6) to (5, 5)
Dr fr (5, 5) to (5, 4)
Dr fr (5, 4) to (5, 3)
Dr fr (5, 3) to (5, 2)
Dr fr (5, 2) to (5, 1)
Dr fr (5, 1) to (5, 0)
Dr fr (5, 0) to (6, 0)
Dr fr (6, 0) to (6, 1)
Dr fr (6, 1) to (6, 2)
Dr fr (6, 2) to (6, 3)
Dr fr (6, 3) to (6, 4)
Dr fr (6, 4) to (6, 5)
Dr fr (6, 5) to (6, 6)
Dr fr (6, 6) to (6, 7)
Dr fr (6, 7) to (6, 8)
Dr fr (6, 8) to (6, 9)
Dr fr (6, 9) to (6, 10)
Dr fr (6, 10) to (6, 11)
Dr fr (6, 11) to (6, 12)
Dr fr (6, 12) to (6, 13)
Dr fr (6, 13) to (6, 14)
Dr fr (6, 14) to (6, 15)
Dr fr (6, 15) to (6, 16)
Dr fr (6, 16) to (6, 17)
Dr fr (6, 17) to (6, 18)
Dr fr (6, 18) to (6, 19)
Dr fr (6, 19) to (6, 20)
Dr fr (6, 20) to (6, 21)
Mv to (6, 20)
Dr fr (6, 20) to (7, 19)
Dr fr (7, 19) to (7, 18)
Dr fr (7, 18) to (7, 17)
Dr fr (7, 17) to (7, 16)
Dr fr (7, 16) to (7, 15)
Dr fr (7, 15) to (7, 14)
Dr fr (7, 14) to (7, 13)
Dr fr (7, 13) to (7, 12)
Dr fr (7, 12) to (7, 11)
Dr fr (7, 11) to (7, 10)
Dr fr (7, 10) to (7, 9)
Dr fr (7, 9) to (7, 8)
Dr fr (7, 8) to (7, 7)
Dr fr (7, 7) to (7, 6)
Dr fr (7, 6) to (7, 5)
Dr fr (7, 5) to (7, 4)
Dr fr (7, 4) to (7, 3)
Dr fr (7, 3) to (7, 2)
Dr fr (7, 2) to (7, 1)
Dr fr (7, 1) to (7, 0)
Dr fr (7, 0) to (8, 0)
Dr fr (8, 0) to (8, 1)
Dr fr (8, 1) to (8, 2)
Dr fr (8, 2) to (8, 3)
Dr fr (8, 3) to (8, 4)
Dr fr (8, 4) to (8, 5)
Dr fr (8, 5) to (8, 6)
Dr fr (8, 6) to (8, 7)
Dr fr (8, 7) to (8, 8)
Dr fr (8, 8) to (8, 9)
Dr fr (8, 9) to (8, 10)
Dr fr (8, 10) to (8, 11)
Dr fr (8, 11) to (8, 12)
Dr fr (8, 12) to (8, 13)
Dr fr (8, 13) to (8, 14)
Dr fr (8, 14) to (8, 15)
Dr fr (8, 15) to (8, 16)
Dr fr (8, 16) to (8, 17)
Dr fr (8, 17) to (8, 18)
Mv to (8, 17)
Dr fr (8, 17) to (9, 16)
Dr fr (9, 16) to (10, 15)
Dr fr (10, 15) to (10, 14)
Dr fr (10, 14) to (10, 13)
Dr fr (10, 13) to (10, 12)
Dr fr (10, 12) to (10, 11)
Dr fr (10, 11) to (10, 10)
Dr fr (10, 10) to (10, 9)
Dr fr (10, 9) to (10, 8)
Dr fr (10, 8) to (10, 7)
Dr fr (10, 7) to (10, 6)
Dr fr (10, 6) to (10, 5)
Dr fr (10, 5) to (10, 4)
Dr fr (10, 4) to (10, 3)
Dr fr (10, 3) to (10, 2)
Dr fr (10, 2) to (10, 1)
Dr fr (10, 1) to (10, 0)
Dr fr (10, 0) to (11, 0)
Dr fr (11, 0) to (11, 1)
Dr fr (11, 1) to (11, 2)
Dr fr (11, 2) to (11, 3)
Dr fr (11, 3) to (11, 4)
Dr fr (11, 4) to (11, 5)
Dr fr (11, 5) to (11, 6)
Dr fr (11, 6) to (11, 7)
Dr fr (11, 7) to (11, 8)
Dr fr (11, 8) to (11, 9)
Dr fr (11, 9) to (11, 10)
Dr fr (11, 10) to (11, 11)
Dr fr (11, 11) to (11, 12)
Dr fr (11, 12) to (11, 13)
Dr fr (11, 13) to (11, 14)
Dr fr (11, 14) to (12, 13)
Dr fr (12, 13) to (12, 12)
Dr fr (12, 12) to (12, 11)
Dr fr (12, 11) to (12, 10)
Dr fr (12, 10) to (12, 9)
Dr fr (12, 9) to (12, 8)
Dr fr (12, 8) to (12, 7)
Dr fr (12, 7) to (12, 6)
Dr fr (12, 6) to (12, 5)
Dr fr (12, 5) to (12, 4)
Dr fr (12, 4) to (12, 3)
Dr fr (12, 3) to (12, 2)
Dr fr (12, 2) to (12, 1)
Dr fr (12, 1) to (12, 0)
Dr fr (12, 0) to (13, 0)
Dr fr (13, 0) to (13, 1)
Dr fr (13, 1) to (13, 2)
